img,acc,iou,acc_crf,iou_crf
../dataset_ccp/test/photos\0005.jpg,78.70175,30.1435618574,79.84,32.6421040698
../dataset_ccp/test/photos\0010.jpg,87.29725,38.9595485071,86.913,36.8056622127
../dataset_ccp/test/photos\0011.jpg,90.679,68.4174991095,91.1765,70.0940168638
../dataset_ccp/test/photos\0015.jpg,84.2125,24.3642762868,83.3045,18.8119744535
../dataset_ccp/test/photos\0018.jpg,78.459,7.68213825415,78.778,7.72617335964
../dataset_ccp/test/photos\0024.jpg,82.518,25.1638357259,81.53475,20.176729668
../dataset_ccp/test/photos\0025.jpg,91.86875,67.606543263,93.70475,74.9435543984
../dataset_ccp/test/photos\0026.jpg,91.3515,60.1981772585,91.31375,59.1253871857
../dataset_ccp/test/photos\0027.jpg,81.64975,14.7756560099,82.185,15.5386168419
../dataset_ccp/test/photos\0028.jpg,88.574,54.8675533113,90.0935,60.1305258493
../dataset_ccp/test/photos\0033.jpg,88.09875,45.0942880568,89.029,48.0585471861
../dataset_ccp/test/photos\0037.jpg,92.5635,66.636213907,95.33475,80.5786287023
../dataset_ccp/test/photos\0055.jpg,89.603,53.7045535076,90.805,58.5597140088
../dataset_ccp/test/photos\0063.jpg,84.27475,30.080503783,83.88525,28.4248903894
../dataset_ccp/test/photos\0082.jpg,81.38075,36.1072799707,77.4455,21.0459948229
../dataset_ccp/test/photos\0084.jpg,91.3605,65.1549854068,92.49225,68.2392702568
../dataset_ccp/test/photos\0090.jpg,94.5965,78.6106562877,95.2915,80.5164420485
../dataset_ccp/test/photos\0092.jpg,89.73425,54.8988931957,90.93775,60.0441809905
../dataset_ccp/test/photos\0098.jpg,87.657,58.5475258099,87.82525,58.0395306295
../dataset_ccp/test/photos\0108.jpg,77.17175,43.7137548561,83.53625,59.8520118074
../dataset_ccp/test/photos\0126.jpg,91.20075,63.5521383032,92.431,68.2480808421
../dataset_ccp/test/photos\0133.jpg,84.8245,33.0501632324,83.712,26.2842109023
../dataset_ccp/test/photos\0136.jpg,90.34225,58.9969324104,93.4195,71.947423037
../dataset_ccp/test/photos\0138.jpg,83.306,38.527145817,84.65075,43.844213376
../dataset_ccp/test/photos\0142.jpg,79.02675,27.7464835598,79.28225,28.1430616809
../dataset_ccp/test/photos\0151.jpg,93.17125,77.1712754081,96.644,89.0422586166
../dataset_ccp/test/photos\0152.jpg,92.15125,77.9722041008,93.76575,82.4280500057
../dataset_ccp/test/photos\0153.jpg,86.55425,37.770668094,86.25025,35.2652631836
