img,acc,iou,acc_crf,iou_crf
../../tmm_dataset_sharing/datasets/test/image\100221.jpg,93.1604166667,66.8258721555,93.4920833333,66.6022739817
../../tmm_dataset_sharing/datasets/test/image\10032.jpg,93.5375,73.656013682,94.9120833333,80.1531327731
../../tmm_dataset_sharing/datasets/test/image\102478.jpg,93.6179166667,63.3870169846,92.63625,56.7546660291
../../tmm_dataset_sharing/datasets/test/image\102541.jpg,96.025,80.4689455312,96.7758333333,84.9293370656
../../tmm_dataset_sharing/datasets/test/image\103062.jpg,84.2845833333,38.9822881417,88.0991666667,54.0614382912
../../tmm_dataset_sharing/datasets/test/image\103368.jpg,95.31,82.8470696439,95.735,84.5207098117
../../tmm_dataset_sharing/datasets/test/image\103631.jpg,92.7175,76.6275612839,94.49625,84.2346462826
../../tmm_dataset_sharing/datasets/test/image\103819.jpg,96.35625,88.5239358385,97.1225,90.432254378
../../tmm_dataset_sharing/datasets/test/image\104001.jpg,84.5941666667,29.6337571552,84.6391666667,29.1970652275
../../tmm_dataset_sharing/datasets/test/image\104101.jpg,89.8758333333,63.1221517291,90.4466666667,65.0611364399
../../tmm_dataset_sharing/datasets/test/image\104183.jpg,90.2808333333,62.8863071898,90.8829166667,64.4903202129
../../tmm_dataset_sharing/datasets/test/image\104499.jpg,97.6791666667,89.4243567753,97.11875,87.6781391885
../../tmm_dataset_sharing/datasets/test/image\104589.jpg,92.28,74.3381853835,93.96125,80.449096099
../../tmm_dataset_sharing/datasets/test/image\104754.jpg,87.7508333333,38.5228510809,85.9870833333,27.4041570439
../../tmm_dataset_sharing/datasets/test/image\10477.jpg,96.8470833333,81.5074882545,97.2858333333,85.5758612091
../../tmm_dataset_sharing/datasets/test/image\104835.jpg,87.7708333333,45.0631134553,88.0145833333,45.444495723
../../tmm_dataset_sharing/datasets/test/image\105021.jpg,96.77875,91.7664470458,97.8441666667,94.4174823089
../../tmm_dataset_sharing/datasets/test/image\105231.jpg,95.46625,81.9216842734,96.4254166667,85.8823677932
../../tmm_dataset_sharing/datasets/test/image\105274.jpg,89.7708333333,55.2729230355,90.1170833333,55.7622962642
../../tmm_dataset_sharing/datasets/test/image\10556.jpg,93.4304166667,78.6917390191,95.03375,82.9201716279
../../tmm_dataset_sharing/datasets/test/image\105845.jpg,92.5225,74.7742113032,94.0333333333,79.7307740247
../../tmm_dataset_sharing/datasets/test/image\106049.jpg,93.7995833333,78.7129862935,95.0316666667,82.9397536973
../../tmm_dataset_sharing/datasets/test/image\106101.jpg,93.49875,77.9273157687,94.4816666667,81.2812240265
../../tmm_dataset_sharing/datasets/test/image\106320.jpg,92.3666666667,68.4228524782,93.90375,74.633848883
../../tmm_dataset_sharing/datasets/test/image\106419.jpg,89.26625,57.6927265347,89.1870833333,56.9884248636
../../tmm_dataset_sharing/datasets/test/image\10643.jpg,92.20125,68.1115921116,93.44125,72.8332440089
../../tmm_dataset_sharing/datasets/test/image\106830.jpg,83.2591666667,34.063402151,84.0408333333,33.5229989033
../../tmm_dataset_sharing/datasets/test/image\10708.jpg,94.5979166667,74.9039209676,94.3266666667,72.0945220193
../../tmm_dataset_sharing/datasets/test/image\107115.jpg,91.1608333333,69.67493195,91.5545833333,71.2225800214
../../tmm_dataset_sharing/datasets/test/image\107560.jpg,95.2370833333,81.5393940893,96.21,86.1891030505
../../tmm_dataset_sharing/datasets/test/image\108366.jpg,94.6108333333,81.0472832629,95.22,82.9137867912
../../tmm_dataset_sharing/datasets/test/image\109454.jpg,93.7720833333,71.5689580983,94.4283333333,73.8912963029
../../tmm_dataset_sharing/datasets/test/image\10947.jpg,90.145,61.5560433182,89.66,59.3221587769
../../tmm_dataset_sharing/datasets/test/image\109496.jpg,95.9645833333,88.1365080747,95.8916666667,88.9683558309
../../tmm_dataset_sharing/datasets/test/image\109781.jpg,93.3583333333,68.4420492721,93.105,67.7538988208
../../tmm_dataset_sharing/datasets/test/image\11010.jpg,74.9725,23.4878870528,74.98625,22.0613635377
../../tmm_dataset_sharing/datasets/test/image\110393.jpg,85.5125,59.5713967008,86.575,61.710582305
../../tmm_dataset_sharing/datasets/test/image\111723.jpg,89.0783333333,53.102754958,91.99375,66.5684800507
../../tmm_dataset_sharing/datasets/test/image\11260.jpg,92.0345833333,59.5570160356,92.2825,60.3464182227
../../tmm_dataset_sharing/datasets/test/image\113128.jpg,90.12125,69.2375122914,90.1825,68.45810896
../../tmm_dataset_sharing/datasets/test/image\113416.jpg,93.6391666667,75.4168001831,95.02625,80.6101415418
../../tmm_dataset_sharing/datasets/test/image\113932.jpg,92.1270833333,72.5738081455,92.1379166667,72.2428003491
../../tmm_dataset_sharing/datasets/test/image\114288.jpg,88.29125,48.7569817107,88.9895833333,51.2394407943
../../tmm_dataset_sharing/datasets/test/image\116147.jpg,95.7125,84.5177476896,96.3466666667,86.9570781125
../../tmm_dataset_sharing/datasets/test/image\11709.jpg,90.7,58.9866397782,91.8075,64.6374389303
../../tmm_dataset_sharing/datasets/test/image\117697.jpg,95.7029166667,79.5879712514,96.625,83.0681925151
../../tmm_dataset_sharing/datasets/test/image\118698.jpg,96.9675,87.5397960596,97.0958333333,87.79950363
../../tmm_dataset_sharing/datasets/test/image\118853.jpg,90.05,64.9910331455,90.75875,65.9194500486
../../tmm_dataset_sharing/datasets/test/image\11918.jpg,88.76125,63.8950839265,88.89,66.9346207273
../../tmm_dataset_sharing/datasets/test/image\120646.jpg,87.8404166667,38.6529133238,88.4295833333,40.8063122732
../../tmm_dataset_sharing/datasets/test/image\120874.jpg,94.67375,86.3460890946,96.49125,90.9309081723
../../tmm_dataset_sharing/datasets/test/image\121266.jpg,96.6125,79.9214277013,97.6025,85.5644171779
../../tmm_dataset_sharing/datasets/test/image\121268.jpg,92.0891666667,67.4137139073,94.9,78.2896504293
../../tmm_dataset_sharing/datasets/test/image\122697.jpg,90.22875,63.1920098199,90.6529166667,64.2093998351
../../tmm_dataset_sharing/datasets/test/image\123028.jpg,94.9166666667,84.3148887065,96.2208333333,88.9754956083
../../tmm_dataset_sharing/datasets/test/image\12325.jpg,90.65,64.4787143228,88.3766666667,53.6995568657
../../tmm_dataset_sharing/datasets/test/image\124226.jpg,87.8129166667,44.2376246078,89.8808333333,54.3493557324
../../tmm_dataset_sharing/datasets/test/image\12459.jpg,92.79125,67.856901027,93.35,69.6364544093
../../tmm_dataset_sharing/datasets/test/image\127852.jpg,91.09875,56.7422613681,91.9070833333,61.3965838955
../../tmm_dataset_sharing/datasets/test/image\128119.jpg,91.5325,64.0110307909,91.2391666667,61.8742028868
../../tmm_dataset_sharing/datasets/test/image\128323.jpg,91.0220833333,61.215303826,91.6025,63.3838576457
../../tmm_dataset_sharing/datasets/test/image\1285.jpg,93.28875,76.3934367882,94.1229166667,79.8999016892
../../tmm_dataset_sharing/datasets/test/image\12877.jpg,90.705,55.8532337168,91.5916666667,60.0547419642
../../tmm_dataset_sharing/datasets/test/image\12910.jpg,92.5808333333,64.0129507252,92.8058333333,63.2635458324
../../tmm_dataset_sharing/datasets/test/image\129430.jpg,90.32,71.9249473237,91.1691666667,73.7534343135
../../tmm_dataset_sharing/datasets/test/image\129913.jpg,86.59125,56.1741531029,86.4320833333,53.0547479426
../../tmm_dataset_sharing/datasets/test/image\129960.jpg,94.1045833333,80.9896292811,94.3229166667,81.8188172097
../../tmm_dataset_sharing/datasets/test/image\130306.jpg,97.0808333333,91.0569105691,97.19375,91.4699305849
../../tmm_dataset_sharing/datasets/test/image\130918.jpg,90.0375,45.4003280155,90.94,49.1808218146
../../tmm_dataset_sharing/datasets/test/image\131409.jpg,96.7579166667,87.4226718805,97.3016666667,89.4545226943
../../tmm_dataset_sharing/datasets/test/image\13233.jpg,87.4541666667,49.2088294632,87.5983333333,49.0626087821
../../tmm_dataset_sharing/datasets/test/image\132530.jpg,94.2883333333,70.410022779,95.2404166667,75.2262543389
../../tmm_dataset_sharing/datasets/test/image\132743.jpg,94.69625,87.449086256,96.1108333333,91.0032207159
../../tmm_dataset_sharing/datasets/test/image\13386.jpg,95.0666666667,80.1744287459,95.7945833333,84.2021535503
../../tmm_dataset_sharing/datasets/test/image\134101.jpg,94.595,78.2478944891,97.2629166667,89.7897359243
../../tmm_dataset_sharing/datasets/test/image\134447.jpg,82.9308333333,28.9925721828,84.7675,37.5239649595
../../tmm_dataset_sharing/datasets/test/image\134526.jpg,90.8516666667,61.5300634831,91.54125,62.6337356046
../../tmm_dataset_sharing/datasets/test/image\135478.jpg,86.54,41.7298103726,87.66625,46.1078724342
../../tmm_dataset_sharing/datasets/test/image\135684.jpg,93.7795833333,75.3118125544,94.70375,79.5959430888
../../tmm_dataset_sharing/datasets/test/image\136647.jpg,94.7095833333,80.1703445606,95.55625,83.5864706798
../../tmm_dataset_sharing/datasets/test/image\137175.jpg,93.0904166667,57.4492508458,94.4795833333,65.3916768666
../../tmm_dataset_sharing/datasets/test/image\137912.jpg,95.2741666667,81.2965032732,97.4529166667,90.3473475868
../../tmm_dataset_sharing/datasets/test/image\138458.jpg,92.1520833333,70.9196649598,92.6070833333,71.790079806
../../tmm_dataset_sharing/datasets/test/image\138615.jpg,94.9891666667,81.1174559228,97.0541666667,88.7914717507
../../tmm_dataset_sharing/datasets/test/image\138618.jpg,86.1704166667,46.9773489117,85.5029166667,43.435578442
../../tmm_dataset_sharing/datasets/test/image\138673.jpg,96.9258333333,88.3134171581,96.5241666667,87.9441886788
../../tmm_dataset_sharing/datasets/test/image\14264.jpg,93.8958333333,77.6293054973,95.58375,85.2568883473
../../tmm_dataset_sharing/datasets/test/image\142692.jpg,87.9,31.7066113103,88.7179166667,35.9029608599
../../tmm_dataset_sharing/datasets/test/image\144883.jpg,90.7741666667,62.6998970307,90.3458333333,58.9705297764
../../tmm_dataset_sharing/datasets/test/image\14523.jpg,92.9633333333,80.0786051907,93.8016666667,82.7416365081
../../tmm_dataset_sharing/datasets/test/image\145827.jpg,93.56875,65.2801171732,93.5725,65.0054892866
../../tmm_dataset_sharing/datasets/test/image\147534.jpg,94.8479166667,83.0297599396,95.78375,86.373846241
../../tmm_dataset_sharing/datasets/test/image\147833.jpg,94.3204166667,81.1577904967,95.2166666667,83.6517543488
../../tmm_dataset_sharing/datasets/test/image\147953.jpg,91.7625,52.8064870808,91.6220833333,52.7012689386
../../tmm_dataset_sharing/datasets/test/image\148229.jpg,96.8620833333,90.0471278054,97.0675,90.8568941215
../../tmm_dataset_sharing/datasets/test/image\148936.jpg,91.1783333333,71.0105708937,91.4658333333,71.8309040322
../../tmm_dataset_sharing/datasets/test/image\149188.jpg,88.3608333333,61.8086215695,88.8029166667,64.3575495959
../../tmm_dataset_sharing/datasets/test/image\149699.jpg,91.9145833333,51.697119287,92.24125,52.5621144767
../../tmm_dataset_sharing/datasets/test/image\150805.jpg,87.1204166667,39.4083068738,86.5104166667,35.37522411
../../tmm_dataset_sharing/datasets/test/image\150857.jpg,93.4204166667,84.2658454535,93.05125,83.9361299425
../../tmm_dataset_sharing/datasets/test/image\152308.jpg,91.81375,69.5747767555,92.97125,72.9416647119
../../tmm_dataset_sharing/datasets/test/image\152410.jpg,92.9320833333,71.4744280236,93.1045833333,71.2247024626
../../tmm_dataset_sharing/datasets/test/image\152887.jpg,93.9916666667,77.163638449,94.2366666667,78.2254711417
../../tmm_dataset_sharing/datasets/test/image\153028.jpg,96.64875,89.2956951031,97.6854166667,92.5964650236
../../tmm_dataset_sharing/datasets/test/image\153169.jpg,95.0879166667,87.1128444979,96.1816666667,90.5264616877
../../tmm_dataset_sharing/datasets/test/image\153278.jpg,95.76375,86.4464969588,96.7291666667,88.660035954
../../tmm_dataset_sharing/datasets/test/image\154943.jpg,89.5066666667,56.8750537449,91.58125,64.1732197704
../../tmm_dataset_sharing/datasets/test/image\155007.jpg,91.6241666667,63.4593235204,92.4808333333,66.46165095
../../tmm_dataset_sharing/datasets/test/image\156555.jpg,90.8020833333,67.7754467558,92.1479166667,72.2157645592
../../tmm_dataset_sharing/datasets/test/image\15709.jpg,95.0429166667,81.1245830465,96.3216666667,87.954951243
../../tmm_dataset_sharing/datasets/test/image\15799.jpg,90.7945833333,37.4570328613,89.8675,28.9315027328
../../tmm_dataset_sharing/datasets/test/image\158421.jpg,93.55625,80.3268384664,94.3170833333,82.6588465298
